,year,country,word,frequency,count,freq_prop_headlines,word_len
146063,2021,India,brooklyn,1.0,3188,0.0003136762860727729,8
159409,2005,India,call,0.0,172,0.0,4
159410,2006,India,call,1.0,204,0.004901960784313725,4
159411,2007,India,call,3.0,496,0.006048387096774193,4
159412,2008,India,call,4.0,1368,0.0029239766081871343,4
159413,2009,India,call,5.0,2356,0.0021222410865874364,4
159414,2010,India,call,12.0,3168,0.003787878787878788,4
159415,2011,India,call,12.0,4876,0.002461033634126333,4
159416,2012,India,call,24.0,7268,0.003302146395156852,4
159417,2013,India,call,34.0,9820,0.0034623217922606924,4
159418,2014,India,call,44.0,15004,0.002932551319648094,4
159419,2015,India,call,74.0,21064,0.0035131029244208126,4
159420,2016,India,call,118.0,28024,0.0042106765629460466,4
159421,2017,India,call,138.0,34194,0.00403579575364099,4
159422,2018,India,call,195.0,38340,0.005086071987480438,4
159423,2019,India,call,247.0,41698,0.005923545493788671,4
159424,2020,India,call,0.0,674,0.0,4
159425,2021,India,call,3.0,3188,0.0009410288582183187,4
161908,2005,India,cancer,0.0,172,0.0,6
161909,2006,India,cancer,0.0,204,0.0,6
161910,2007,India,cancer,1.0,496,0.0020161290322580645,6
161911,2008,India,cancer,11.0,1368,0.00804093567251462,6
161912,2009,India,cancer,11.0,2356,0.00466893039049236,6
161913,2010,India,cancer,11.0,3168,0.003472222222222222,6
161914,2011,India,cancer,7.0,4876,0.001435602953240361,6
161915,2012,India,cancer,16.0,7268,0.002201430930104568,6
161916,2013,India,cancer,22.0,9820,0.002240325865580448,6
161917,2014,India,cancer,30.0,15004,0.0019994668088509733,6
161918,2015,India,cancer,60.0,21064,0.00284846183061147,6
161919,2016,India,cancer,54.0,28024,0.0019269197830431059,6
161920,2017,India,cancer,76.0,34194,0.002222612154179096,6
161921,2018,India,cancer,140.0,38340,0.0036515388628064684,6
161922,2019,India,cancer,133.0,41698,0.003189601419732361,6
161923,2020,India,cancer,0.0,674,0.0,6
161924,2021,India,cancer,0.0,3188,0.0,6
164509,2005,India,car,0.0,258,0.0,3
164510,2006,India,car,0.0,306,0.0,3
164511,2007,India,car,1.0,744,0.0013440860215053765,3
164512,2008,India,car,11.0,2052,0.005360623781676413,3
164513,2009,India,car,8.0,3534,0.0022637238256932655,3
164514,2010,India,car,13.0,4752,0.002735690235690236,3
164515,2011,India,car,10.0,7314,0.0013672409078479629,3
164516,2012,India,car,27.0,10902,0.0024766097963676388,3
164517,2013,India,car,35.0,14730,0.0023761031907671417,3
164518,2014,India,car,29.0,22506,0.0012885452768150716,3
164519,2015,India,car,54.0,31596,0.001709077098366882,3
164520,2016,India,car,70.0,42036,0.0016652393186792273,3
164521,2017,India,car,118.0,51291,0.002300598545553801,3
164522,2018,India,car,135.0,57510,0.002347417840375587,3
164523,2019,India,car,131.0,62547,0.002094424992405711,3
164524,2020,India,car,0.0,1011,0.0,3
164525,2021,India,car,2.0,4782,0.0004182350480970305,3
168776,2005,India,case,0.0,172,0.0,4
168777,2006,India,case,0.0,204,0.0,4
168778,2007,India,case,2.0,496,0.004032258064516129,4
168779,2008,India,case,3.0,1368,0.0021929824561403508,4
168780,2009,India,case,9.0,2356,0.0038200339558573855,4
168781,2010,India,case,8.0,3168,0.0025252525252525255,4
168782,2011,India,case,14.0,4876,0.002871205906480722,4
168783,2012,India,case,28.0,7268,0.003852504127682994,4
168784,2013,India,case,60.0,9820,0.006109979633401222,4
168785,2014,India,case,83.0,15004,0.005531858171154359,4
168786,2015,India,case,84.0,21064,0.0039878465628560575,4
168787,2016,India,case,119.0,28024,0.00424636026263203,4
168788,2017,India,case,161.0,34194,0.004708428379247821,4
168789,2018,India,case,215.0,38340,0.005607720396452791,4
168790,2019,India,case,249.0,41698,0.005971509424912466,4
168791,2020,India,case,0.0,674,0.0,4
168792,2021,India,case,3.0,3188,0.0009410288582183187,4
173706,2005,India,celebrate,0.0,172,0.0,9
173707,2006,India,celebrate,0.0,204,0.0,9
173708,2007,India,celebrate,0.0,496,0.0,9
173709,2008,India,celebrate,1.0,1368,0.0007309941520467836,9
173710,2009,India,celebrate,5.0,2356,0.0021222410865874364,9
173711,2010,India,celebrate,4.0,3168,0.0012626262626262627,9
173712,2011,India,celebrate,4.0,4876,0.0008203445447087777,9
173713,2012,India,celebrate,8.0,7268,0.001100715465052284,9
173714,2013,India,celebrate,15.0,9820,0.0015274949083503055,9
173715,2014,India,celebrate,25.0,15004,0.0016662223407091442,9
173716,2015,India,celebrate,40.0,21064,0.0018989745537409798,9
173717,2016,India,celebrate,63.0,28024,0.002248073080216957,9
173718,2017,India,celebrate,95.0,34194,0.0027782651927238697,9
173719,2018,India,celebrate,129.0,38340,0.0033646322378716744,9
173720,2019,India,celebrate,137.0,41698,0.0032855292819799512,9
173721,2020,India,celebrate,0.0,674,0.0,9
173722,2021,India,celebrate,0.0,3188,0.0,9
179656,2005,India,change,0.0,172,0.0,6
179657,2006,India,change,0.0,204,0.0,6
179658,2007,India,change,0.0,496,0.0,6
179659,2008,India,change,5.0,1368,0.003654970760233918,6
179660,2009,India,change,7.0,2356,0.0029711375212224107,6
179661,2010,India,change,13.0,3168,0.004103535353535354,6
179662,2011,India,change,8.0,4876,0.0016406890894175555,6
179663,2012,India,change,19.0,7268,0.0026141992294991746,6
179664,2013,India,change,34.0,9820,0.0034623217922606924,6
179665,2014,India,change,42.0,15004,0.002799253532391362,6
179666,2015,India,change,86.0,21064,0.004082795290543107,6
179667,2016,India,change,92.0,28024,0.0032829003711104766,6
